source_fullname,source_shortname,base_url,pages_url,num_pages,save_locally,anti_robot,load_more_button,alt_source_domain
ABS-CBN,news.abs-cbn.com,https://news.abs-cbn.com/,https://news.abs-cbn.com/,1,False,True,False,
Abogado,abogado.com.ph,https://abogado.com.ph/,https://abogado.com.ph/,1,False,True,False,
Aksyon Radyo Iloilo,www.aksyonradyoiloilo.com.ph,https://www.aksyonradyoiloilo.com.ph/,https://www.aksyonradyoiloilo.com.ph/,1,False,True,False,
Brigada News,brigadanews.ph,https://brigadanews.ph/,https://brigadanews.ph/,1,False,True,False,
Bulgar,www.bulgaronline.com,https://www.bulgaronline.com/,https://www.bulgaronline.com/,1,False,True,False,
Business Mirror,businessmirror.com.ph,https://businessmirror.com.ph/,https://businessmirror.com.ph/,1,False,True,False,
Business News,www.businessnews.ph,https://www.businessnews.ph/,https://www.businessnews.ph/,1,False,True,False,
BusinessWorld,www.bworldonline.com,https://www.bworldonline.com/,https://www.bworldonline.com/,1,False,True,False,
Cebu Daily News,cebudailynews.inquirer.net,https://cebudailynews.inquirer.net/,https://cebudailynews.inquirer.net/,1,False,True,False,
DZRH,www.dzrh.com.ph,https://www.dzrh.com.ph/,https://www.dzrh.com.ph/,1,False,True,False,
Daily Guardian,dailyguardian.com.ph,https://dailyguardian.com.ph/,https://dailyguardian.com.ph/,1,False,True,False,
Daily Tribune,tribune.net.ph,https://tribune.net.ph/,https://tribune.net.ph/,1,False,True,False,
Eagle News,www.eaglenews.ph,https://www.eaglenews.ph/,https://www.eaglenews.ph/,1,False,True,False,
GMA News,www.gmanetwork.com,https://www.gmanetwork.com/,https://www.gmanetwork.com/,1,False,True,False,
Gold Star Daily,mindanaogoldstardaily.com,https://mindanaogoldstardaily.com/,https://mindanaogoldstardaily.com/,1,False,True,False,
Herald Express,baguioheraldexpressonline.com,https://baguioheraldexpressonline.com/,https://baguioheraldexpressonline.com/,1,False,True,False,
INQUIRER.net,www.inquirer.net,https://www.inquirer.net/,https://www.inquirer.net/,1,False,True,False,
